,reviewer_review,reviewer_avg,reviewer_review_cnt,reviewer_review_score,reviewer_review_date,reviewer_id,diner_idx
10,"다른고깃집이랑은 틀리게 소스나 불판이 퀄리티가
있어요 맛있어용",2.4,5,5.0,2021.02.27.,"오상호
브론즈 배지
레벨
4",26304050
11,"맛도 괜찮고
써비스도 좋아요
특히 불쇼 굿",5.0,1,5.0,2020.04.14.,"권혁배
브론즈 배지
레벨
2",26304050
12,일단 불쇼가 멋짐 직접 구워주니 먹기도 편하고 맛도 좋았음 그리고 주차가 진짜 편함,4.0,1,4.0,2020.04.14.,"..
브론즈 배지
레벨
2",26304050
13,불쇼 멋지게 잘해 주시네요.고기도 맛있고,4.0,72,4.0,2018.05.17.,"초이
실버 배지
레벨
24",26304050
0,,4.7,111,5.0,2022.05.24.,"쀼
실버 배지
레벨
24",7953068
1,,5.0,2,5.0,2021.02.15.,"숨냥
브론즈 배지
레벨
2",7953068
0,,4.1,147,1.0,2020.02.03.,"LightItUp
실버 배지
레벨
23",480987704
1,여사장님도  친절하시고  맛도괜찮은곳,2.1,30,5.0,2020.01.07.,"김종찬
브론즈 배지
레벨
10",480987704
0,"식사비용대비 음식맛이 특별하지 않았고 무엇보다도 종업원들의 역량이 부족합니다
케잌을 나눠 싸야 해서
비닐봉지를 달라고 했더니
남은 음식 싸가지 말라해서
아주 불쾌했습니다
다시는  안갈 것 같습니다
더보기",1.0,2,1.0,2023.12.17.,"수뿡
브론즈 배지
레벨
2",17423899
1,,5.0,12,5.0,2023.12.17.,"lee
브론즈 배지
레벨
6",17423899
2,"돌잔치 초대로 방문~
가격대비...
한두개씩 들어오는 
음식들의 양은 적고 맛도 비쥬얼도 
기대 이하네요...
특히 떡갈비은 인당 하나씩 나오는데
크기가 한입 사이즈 ㅠㅠ
더보기",3.0,175,2.0,2023.03.28.,"쿠키1226
골드 배지
레벨
39",17423899
0,,4.4,23,4.0,2023.08.01.,"코코
실버 배지
레벨
14",2042089796
1,"안양에서 장어 먹을때는 항상 이 집을 갑니다
양도 괜찮고 맛은 말할 필요가 없네요
조만간 또 갈게요",4.2,19,5.0,2023.07.31.,"신형석
실버 배지
레벨
11",2042089796
2,사장님 참 친절하심 ㅎㅎ 장어 소스 넘 맛있어요!! 장어먹을때 여기만 가요,4.2,5,5.0,2021.06.21.,"밤이
브론즈 배지
레벨
6",2042089796
0,갈비탕 맛있는데 가격이 사악해요,4.4,8,4.0,2023.10.01.,"김유나
브론즈 배지
레벨
5",941584931
1,,4.6,18,5.0,2023.07.07.,"슈락산
실버 배지
레벨
11",941584931
2,오늘 점심에 이용한 사람입니다. 매니저인지부터 정신이 없으니 직원들도 우왕좌왕. 주문은 누락되고 서로 화내기 바쁨. 그렇게 30분 넘게 기다리게 해놓고 주차권은 30분짜리 줘서 주차비까지 나오게 하는 게 말이 되는지? 테이블에 태블릿메뉴판만 설치하고 서빙로봇 몇 대만 들여도 훨씬 적은 인원이 효율적으로 운영할 수 있을텐데 이렇게 비효율적으로 운영하는 곳은 첨 봄.,2.5,6,1.0,2023.06.09.,"박돼지
실버 배지
레벨
12",941584931
0,"냉면보다 사실 칼국수, 수제비 맛집임",4.1,28,4.0,2021.04.21.,"Zaver
실버 배지
레벨
18",9291968
1,"양념을 너무 많이넣어줘서 냉면이 떡되고 짜요
양념조절해서 먹을수있게 적당량만 넣어주세요",3.8,82,2.0,2019.03.29.,"ㅇㅇ
실버 배지
레벨
23",9291968
0,멍멍멍멍!,3.4,105,4.0,2021.01.21.,"좋으면짖는개
실버 배지
레벨
18",1237689359
0,,3.2,40,3.0,2023.10.09.,"내맘대로할꺼야
브론즈 배지
레벨
9",1602639733
